,text,labels
133,Headset finally located in 6months and still packed moving box 4 Caller gave up and went offline,0
134,blood One day definitely I wish we could live under the sea That d be nice too,4
135,homemade all the way but at a pinch the custard powder,4
136,your words made me smile but no thank you,4
137,catching up on tweets then eBaying some stuff,4
138,British Expat Tweet Tommy and the Giant Sprout Especially for Fly as part of sprout seaso,4
139,accidently dogged bobbie today which i m very sorry about lt 3 I love my bed so comfortable also i m not going to swear for month,4
140,i want to upload a new picture but i can t oh well all in due time i supose,0
141,thanks to all the people who followed,4
142,He thought I was too mature to receive that Golden Piggy as a gift Max you lucky fella,4
143,Sushi with my lover,4
144,evans have you found some company I m a little oversocialised for the day have my fifth meeting tonight kinda brain dead,4
145,The Primal Beef Curry with enough leftovers for lunch 4 beau too Tis his fave paleo meal,4
146,there ll be way too many ppl for that,4
147,u left without a goodbye oh the tears i shed in 102,0
148,Tv sucks tonight,0
149,body pillows are awesome unfortunately mine hasn t got any padding left,0
150,bussyy doing ma science thingo ughh,0
151,i been sick miss youu,0
152,Same here I feel Im always yelling at my kids lol,0
153,grace Will do right now,4
154,omg so fucking sick lol and we now have new ped rules haha so could be byebye hiptop noooo,0
155,gotta love taking pics on the iPhone and being able to post them right away,4
156,Just watched George A Romero s quot Diary of the Dead quot 2007 it didn t suck,4
157,blueee no worries Going to give time for revision in class so you can ask me then Rep sport cancelled again,0
158,I m off sick today,0
159,Celebrating 4 months with her spunky boyfriend,4
160,the quot i before e quot rule to go this makes me feel sad,0
161,cooking shrimp scampi over angel hair pasta,4
162,He s still in hosp Joss says he prob needs more plastic surgery Police were amazed that he made it apparently,0
163,just looked at bus tickets to possibly see the sam bradley show thursday it costs more than gas no or for me,0
164,back at the ABC today Should be another interesting day,4
165,is it good so far,0
166,how did you get nto this Mike I lasted about 15secs LOL,0
167,hey calvin harris can you do a shout out to me the names olivia natasha pleaase thanks,4
168,emoji pro its in th app store haha gotta pay for it,0
169,sorry will should be in bed by then 3 little kids that get up in 7 hours,0
170,oh Lana The docs think Lily was a twin but we can t be sure They think all the clotting and bloodloss was a misscarriage,0
171,Grrr its going off all chilly here,0
172,arranging flowers May your flowers bloom brightly and bring happiness to your day I m off to Farmers Market for veggies,4
173,i left school early today seems i am a fool,0
174,My cold is getting worse,0
175,missed The View today I LOVE WHOOPI,0
176,migraines suck big hairy ones,0
177,Em That I have Still stuff to do NOt enough hours in the day,4
178,wat a day so over working a dead end job talk with you al tomoz u crazy twitters xx lt 3 xx,0
179,haha when one pisses you off or annoys you we swap haha simple cheeky face haha,4
180,Has the day off tomorrow,4
181,Something is wrong with my scooby s clutch Sports clutch is too hard,0
182,Mex I am sure we could get a customised font onto a BlackBerry for you We have fabulous developers for the BlackBerry on twitter,4
183,FFS WTF is up with NSW tonight gt lt this Origin is a shocker and I have to go to work with 2 QLDers tomorrow oh the shame,0
184,hehe well i didn t need someone so high up but hey,4
185,lots of tweets today In a bad mood,0
186,i love that even tho u get hives u still eat all the stuff that gives u hives,4
187,Your ass is so nice that it is a shame that you have to sit on it rofl wth moment,4
188,hmm must be friday FCP keeps dropping frames on playback,0
189,Off to watch Marley amp Me with Miss8 I hope its not sad I m terrible with sad animal movies,0
190,keep voting for loyal army vote mr twitter universe too plz xx,4
191,Went past elevat32 on Saturday Seems to have closed down what happened Always looked busy,0
192,i m back again i REALLY want that pic like really really,4
193,you can tell me,4
194,would love to go to something like TechEd but it s on the Gold Coast and also costs 1699 I wish these things were in Melb and cheap,0
195,my virus back again or something my throat is so bad can barely speak,0
196,earth Was this announced somewhere I somehow missed this,0
197,Plan Nice nice Three people I know now has one too,4
198,good luck on sleeping I m sick too,0
199,Yes we are,4
200,hey guys I m off to Smithton an 8 hour drive will reply to you all when I get there how is YOUR day going I m smiling,4
201,seeing a doctor i hope,0
202,thinks this weekend has just disappeared Possibly something to do with working it all away,0
203,Jealous as fuck,0
204,the script are madd,4
205,watching farrah s story,0
206,did everyone have fun meeting John Green and the quot yeti quot it certainly sounds it tell me your John Green story,4
207,jane oh no Friday afternoon miracle recovery time,0
208,officially love my bed,4
209,I use that O as my shocked face too And yes that is him I don t know what happened,0
210,AHHHH TWITTER IS STUFFING,0
211,They are beautiful Bettina just like you Get well soon,4
212,TNB will be moving to a brand new server soon If the site is down you ll know why,4
213,I hope you are ok,4
214,Formal deposit must mean that you found a new venue Hopefully that means it all worked out ok in the end,4
215,Had a back massage,4
216,Your going to love it I was blown away when i visited the school Keep us updated on how it goes ADE,4
217,well done DJing tonight I had fun even tough i was a bit quiet just had to get used to it,4
218,thinks its time for bed Work tomorrow xx,0
219,lol i just realized my room has a color theme green is definitely growing in on me go green hahaha i still love purple though,4
220,trying to speak lost my voice from this stupid cold or maybe its swine flu argh,0
221,For this is fairy bread,4
222,my brother is allergic to dairy and gluten so let me know if want some ideas on what to eat,4
223,I forgots help me with your vid lol I dnnoe what clips to do to the lyrics,0
224,and we still blog them anyway,4
225,Can t believe I trekked down only to miss you When are you off time for a quick coffee before you go,0
226,Yes the escaping should work with multiple line text elements the style comments allow specifically for it,4
227,discovered that the internet finally works on dads phone but his work has blocked twitter,0
228,You think some people on Twitter are arrogant and full of themselves Malicious One can always unfollow,4
229,Lol at Mickey Mouse Very well he s doing very well,4
230,FoLLoW HiM iF u DoWn WiT mE ThEn u NeEda quot gEt LiKe mE quot amp amp gEt dOwN WiT HiM Go oN amp dO tHaT 4 yA GuRL,4
231,LOL Good point Mother in law s are not immune to the seductive power of timtams She may move in,4
232,Only listened to the first one so far but had a large grin on my face in the process Like this gt,4
233,Hells yeah Will Ferrell sings quot Never Can Say Goodbye quot on Conan,4
234,No Check You may understand after checkin,4
235,I like it a bit of product placement,4
236,me too dying for it,0
237,Currently cleaning my makeup brushes after massive guilt trip that I don t take good care of them,0
238,Aww I m sorry you got fooled by that fake sharon account Don t feel miserable about it lt 3 lt 3,0
239,yes I will be posting it I just haven t have time,0
240,lmaooo confused via I think ur thinking Dani is Brooke,4
241,Time to read legal docs,0
242,Forgot my goodnight moon Gonna say it now These pills make me sick,0
243,another busy day in the Pursuit Communications office still more to do can t complain love being busy,4
244,i havent really been tweeting that much but im going to start tweeting again tonight is shaping up to be cold,4
245,has no friends,0
246,That sucks May not be food poisoning then Are you going to your GP,0
247,lol i caved as well anyways i m still sick i feel like crap and have been bed ridden,0
248,sparks fly at s bonfire,4
249,I Dont know why i put myself through this shit With Billy Slater on their team QLD is a strong team Still love the bluess,0
250,I m going to try to sleep now Soooooo drained all the time lately,0
251,i keep looking at those Dominos pasta pastry bowl things thinking that they would be delicious but KNOWING that they d be utter shit,0
252,very cute My son says helican instead of pelican Cracks me up,4
253,Awesome I m doing NED11 and PHI220 at Macquarie I can t log on to OASIS I have already sent 2 messages but no reply yet,0
254,I spot you Strange twittersphere crossovers,4
255,ugggg hope my bb gets here today im missing him and pammy wammy that abondened us,0
256,At 4 pines manly red wine in hand Sydney storm s set in Crowd s packed in looks like a night to stick around,4
257,is making sami desktops for myself and megan,0
258,is realllllyyy sleepy still 4 hours to go,0
259,eated too many m amp m s,0
260,Bumbed out Missed Jb webchat,0
261,you guys should have come to Melbourne for the premier,0
262,going back to sleep I m cranky,0
263,urgh thats wat always happens when you play games with ur parents,0
264,is impressed by the cost and efficiency of the new LPG wagon just like an American I can say I ve got to fill up with GAS now,4
265,Almo shocking isnt it hmm we will stop it,4
266,They re a bitch aren t they,0
267,My Murray v Cilic stream keep buffering Dinara v Rezai perfectly clear The only problem is I m not at all intrigued by the latter,0
268,GOSSIP GIRL MEETS THE NOTEBOOK aww my two faves xxx,4
269,But that s polymer now,0
270,work lawn mower induced headache hmmm,0
271,got a picnic to go to tomoz listening to Hello Goodbye by The Jonas Brothers,4
272,good grief And why are ppl f ed Which ppl,4
273,Good luck with Daylesford Consider Kyneton and Woodend with Holgate brewhouse as alternative less contended option perhaps,0
274,sick all w end better now Gr8 day thks ZZZ time now slablekker Enjoy yr day training planned I may treadmill in AM,0
275,Clyde nothing here in SA think they are lying,0
276,Sweep was attacked by cat on Sat night and has an infected abscess on his back and temp of 40 3 degrees Monitoring home today STRESSED,0
277,Public holiday today Couldn t be better it s 10am am still in bed twittering on my iPhone Let s see how the rest of the day pans out,4
278,im going to sleep now it was a long day party tomorrow wooohoo night tweets,4
279,Yars Bugger Try Human Powered Cycles in Thornbury May be able to help you,0
280,Yikes Aus tv lost a few way before their time in 08,0
281,Feeling really crappy about an overdue assignment Completely mucked up another assignment and left this one too late,0
282,That works Unless you want a really fancy setup there s not much to a DVD player,4
283,I have no chance no sitter Am thinking I would ve really liked to go The couple of tweeps I ve met have been nice U met any,0
284,AHHHHHHHHHHH MICHELLE IS SCARED OF GETTING SWINE FLU,0
285,did you get it,4
286,isfortammy Going out in Northbridge makes me jealous of you I m stuck in packing for an apartment move and finishing some work FAIL,0
287,Shane and Tom off Thankgod Your Here are sooo gay,0
288,ob over Yes Let my wknd begin,4
289,He doesn t need the shirt for that Jane we just had to suffer another two old eps tonight,4
290,Why won t some ppl reply back to me so rude,0
291,Hey BT apparently I can t,0
292,Making pan cakes,4
293,I refuse to get excited as I don t want to be let down if it happens as long as it s not between June 11 28 or I d die,0
294,Hahaha so you were waiting for someone to take the bait ey Good way of practically guaranteeing a response,4
295,I hate the creators of lost they killed of daniel and juliet that s so fucked up,0
296,whats happend too good old 2 minute noodles,0
297,Cried too much today but thankfully the misunderstanding is resolved so no more need for tears,4
298,Yay Finally new picture works,4
299,OMG got so much Japanese work to do will the school work ever end,0
300,We have a beautiful Dining Suite Used Twice Just there for show Says it all doesn t it Liz had to have one lol,4
301,Dr Seuss does indeed rock,4
302,loving this loads want the plush one though,4
303,whats you been up too how was work,4
304,Watching Take the Lead It is alright especially since the guy who voices Ben from Girlstuff Boystuff is in it,4
305,Haha get that off there Now its a permanent record im gonna have to start a new twitter account,0
306,i was ment to come but fucking hell no one over 18 wanted to come with me so i am pissed off that i dont get to see u,0
307,Got 1 5hrs before phone rang and woke me up,0
308,Looking forward to Wardy s design brief Yay a love job for somebody I love,4
309,and for some reason i can t hit reply to you follow burke,0
310,You gotta be happy you re 5 for Adelaide though,4
311,Heading out to Auskick Looks like we are going to get wet again Great day for ducks today,0
312,Heidi has a headache the type only a cigarette will fix I hate the first stage of quitting,0
313,souths are going so bad laurie dalie pisses me off,0
314,It is quite annoying,0
315,watching take the lead ft yummy choccy xx,4
316,Oh and I m a HUGE Big Love fan Trying to wrap Season 2 up That show is so creepily accurate take it from a Utah girl,4
317,hugs I typed in Hughs originally but come to think of it Hughs might be good as well as in Jackmans,0
318,I will give all the options a go and see if I get any result or response from facebook it is important to me to get my access back,0
319,Federer what a champion,4
320,Kyneton for breakfast this morning at Slow Living Noice Such a beautiful sunny autumn day Drove back to Melb via Daylesford,4
321,haha only helpful for folks like me who always forget to eat Enjoy your lunch bro,4
322,listening to Ryan Monty and Wippa those guys and girl are crack ups,4
323,for sure am about to be unemployed so will have lotsa time,4
324,it hurt remember we talked about the feelings,0
325,The DQT really isn t so bad but a trip to Melbourne is always fun,4
326,I m only 540 years old in pixie years,0
327,is it supposed to rain like this all day we re going to the AFL tonight,0
328,Well thank you I think that s the third comment and first favourable one on it all day,4
329,looks like i m puddying up a hole but i m actually jus trying to feed myself copped 3 injections in my mouth 2day xray 2mro,0
330,If only we knew someone else at the christening on twitter we could have some fun trying to get in trouble,4
331,No Cherry Ripes in the choccy bin today,0
332,Gone to pick up the team s equipment from the airport then off to look at furniture Any one have extra for a good deal,4
333,My friend was in a car crash yesterday,0
334,Popping out to see SAMSON AND DELILAH this arvo hear it is good,4
335,Win I would suck at the beer tasting one but it would be good for a laugh,4
336,Another few mins googling symptoms amp Ive downgraded my self diagnosed abdominal aortic aneurysm to indegestion Either that or tummy aids,0
337,drove through it the other day and it really is starting to look like a shole The Burger place at the top end is cool though,4
338,nice we will tweet her in and keep her away from Simon no from Randy s quot Dude bombs quot no one sld endure that,4
339,is sooooo addicted of Bradley James Does he have a twitter account,4
340,hey hey walked home from town took me like 30minutes booyah HUNGRY 4 Some subway,4
341,NOT LONG until our site goes on line 4 more hours to go,4
342,Corr I m hoping weather is still good when I get there i m good still getting over the flu and have to get on a plane tomoro,0
343,how was mall cop lel,4
344,mckeague i have never seen you get dirty but hey i appreciate you just the same,4
345,Try sending a simple message lol,4
346,I love my giant nerd husband,4
347,Goodness I m so sorry to hear that,0
348,so do I We are currently trying to outdo Mother Hubbard seems like I am succeeding so far,4
349,Jump on grooveshark and find something,4
350,Justine I hope Julie Lucas or Julia wins now,0
351,Ooh my man Jimmy Bean exCentral Deli Band currently Waterslides said to say quot Hey Larnie quot from him Thanks for a great show,4
352,Lol Its nice to see you respect your elders,4
353,I was hoping to see a Brawn lapping a Brawn f1,0
354,Back safe amp sound in Brisbane Enjoyed Cattlemen s Hall of Fame in Longreach but glad to be back in civilisation Ddn t see any roos,0
355,a fatty that sux get a new one and add me,4
356,hey doll hows it goin i ll email ya thx have a good knight xoxo,4
357,90 aww u should come over im bored too just got home tho i ll giv u dets on msn,4
358,definitely second on my playlist much prefer the original to the nouvelle vague version that s for sure,4
359,no sad face i m happy to have a social life there,4
360,I daresay Apple enjoy making it extremely difficult to go from OS3 0 down to OS2 2 1,0
361,Hey everyone I have a really bad coldy coughy thing,0
362,I thought this one was the creepiest since Bloody Mary It was awesome,4
363,On site waiting for Dell Pro Support to call back I could be here for a while,0
364,Just visited world famous dateland A little disappointed,0
365,i desperately want to just need to convince that we can spare the money,4
366,seeing the boy in the stripped pjs,4
367,no i ate chicken Not much of a pork fan Place was super busy Annoying kid in booth behind me kept grabbing my hair,4
368,wish i saw her,0
369,Last month I was very nervous and now I m very sad I love you,0
370,Follow more people,4
371,thx for sharing How are you Like the new photo,4
372,lincoln won t chair dance with meee hmph,0
373,or 4 or 5 haha hows ur night plans tomoro,4
374,I hate allergies Should I get my hair cut tomorrow I m taking a public poll,4
375,i feel shit i am sick,0
376,how is it looking I missed it Again very late for me,0
377,orly Oops Lol I wrote those before I decided to go with Youbatube instead Lol Note to self Fix those up,4
378,I had them for dessert and they were awesome I figured If I feel gross might as well spoil myself,4
379,I never really got to watch The Smurfs,0
380,r i p brenton phillips,0
381,At Mi Corazon tequila bar with 1981 amp Fantastic place Having a great time,4
382,I m bored I don t know what to do,0
383,my jumper smells like yummy men after the gig hmm yummo,4
384,just found out that Cody rhodes and ted dibiase are doing autograph signings at hyperdome on 5th July and I can t go cause I have concert,0
385,owwwwww What a doozy of a headache 2 tablets later and it has only taken off a slight edge,0
386,d i hope all is okay not being able to sleep is not cool at all,4
387,I did the same I hope they pick me for alpha or beta testing,4
388,for Iran has tweeted again thankfully I was so worried,0
389,k now its 81 haha pitty the 80th lives in london hehe,4
390,We ve got KRudd and the US has this cool fella Where s the justice,4
391,my first tweet hehe its cold ive got the cold i have to go work now lifes a bit shitty,0
392,Has sore legs But it s definitely a good thing,4
393,Sadly I don t think even the true supermodel diet cocaine and vomiting is going to work in time But thx for the thought,4
394,Dear god I may not believe in you but please give me one on one time with Andrew Clemmensen,4
395,That s not fair how can you not have a hangover,0
396,commuting,0
397,I hope you haven t redefined them too drastically I still need to be able to achieve them too Although it shouldn t be too hard,4
398,lost her temper today for her next trick she will lose her mind,0
399,is confused Followers are dropping off like flies,0
400,Boo I feel your pain,0
401,Good Morning Twitterland What s on the agenda for the weekend Me a wedding,0
402,NO magazine yet No Caleb for me to lick,0
403,Looks like I ll be spending my entire public holiday painting commissions for University marketing materials Foo I wanted to code,0
404,Finished the last of my 18 extras for this week whilst on camp with year 9s Twitter is likely my only contact with the outside world,0
405,i wish i could get to ShakaCon unfortunately I am studying in Italy and am lacking funds,0
406,half a day more to malaccaaaaaaaaaaa,4
407,Yup I ve heard all Jared s jokes from his Podcast and preso s too Still he delivers them well,4
408,Sunshine state more like sunburn state ow,0
409,now that i know how long my pop has left I want to be with him I love you pop please dont leave me,0
410,Nah mate that s fine that way I can approve if you aren t available teamwork,4
411,Wow I ve overtaken I would like to thank my parents sarah all my followers the makers of twitter and god XD,4
412,sushi killed me my stomach is dyingggggg,0
413,It s kinda poisonous bad neighbours,0
414,Why must Sydney real estate be so bloody expensive I d like to move to the inner west but at this rate I can only afford a shoebox,0
415,I m relaxed already,4
416,chr Good info thanks,4
417,yea sometimes u jus have 2 get over urself n think about how much pain n agony they r in,0
418,Xx Heyy Hunni Yers i heard the bad new from cass Thats sad Hope your okay ily x,0
419,Damn my dogs I gave them dinner and then couldn t work out if one of them ate all of it so I had to give both of them dinner again,0
420,trying to get new website ready wish we were telepathic just for a minute or 2 Would save on emails,4
421,moe s nearly 2 hours away from me tis way too far it s asses i like my job why can t i keep it,0
422,very tired keen for bed walking to work tomoro,0
423,I m sooooo tired I can feel myself drifting But MUST REVISE CHEM quot lt 3,0
424,passing whuffie to you please pass it on,4
425,is really over this depressing weather,0
426,which people,0
427,sekhon Thnx guys gt lt Am back,4
428,Going to bed finally after watching the first IPL match Chennai super kings lost their first match,0
429,565 thats 35 today so far gonna have dinner now but probs will be back YAY haha having a goodweekend people,4
430,Low battery on phone Bye bye twitter,0
431,shakes head,0
432,Sanguines have feelings too,0
433,only 2 5hours left of the working day for me oh the joy of a 21 hour week,4
434,mmhmm,4
435,Hahaha maybe Twitter has a conspiracy and are checking all political based tweets,4
436,Isn t looking good poss,0
437,Ta I m thinking quot OK quot is the best I can hope for food wise when accompanied by 5 kids,4
438,w00h00 acheivement unlocked,4
439,yep i did it had a few spoonfuls felt VERY sick and put the rest in to bake everyone s a winner here,4
440,I am annoyed that its raining now I cant play golf,0
441,Google takes questions via iPhone Very Cool App not available yet though,0
442,Yo anyone got the Apple In Ear Headphones with remote and can comment on if the volume clicker works with the aluminum MacBooks,4
443,Sounds v nice homely experience walking FluffyDog in English village amp meeting new dogs as well,4
444,Hey Duncan was wondering what camera equipment was used Specifically the camera brand for Moon If you could divulge,4
445,Does he cook and clean I ve been craving someone who cooks and cleans because I certainly don t,4
446,bali in 2 weeks so excited,4
447,I ve never been a fan of odd numbers you must rush to chaddy now and buy another pair immediately,4
448,Feeling like shit,0
449,Haha I like it I wouldn t say no,4
450,Looking forward to flying back to Sydney though I will miss Auckland Had an awesome time Thanks guys,4
451,i have even more zappos grape flavour xx,4
452,hannah montana is on yay i love sooo much,4
453,Are we playing hockey on Saturday I should be able to check out your show can t bring the wife though no babysitter,0
454,they do get better but not untill they are 30 I totally sympathise,4
455,mmm gimics r really annoying there is always a catch,0
456,Is it 3 yawns and I turn into a pumpkin or 4 Better be off before I find out Goodnight tweeties,4
457,haha movie theatre is playing from the sea haven t heard this song in ages,4
458,Oh and some pinot noir,4
459,Waiting for work to fiiniiiiiiiiish so I can go get a beer in this London sunshine Whaaat Sunshine that s right,4
460,I know we ve talked to each other occasionally but yes I wouldn t mind getting to know you,4
461,Desperate Housewives time I hope it s Susan that dies don t tell me if you know,4
462,That s a lot of ribbons Good luck Hope the camp goes well,4
463,good good working on Sunday which will be a bit of a pain but otherwise easing back into the Sydney life how ve you been,4
464,Glad you had a great time We did too Although I must admit it was quite the clean up,4
465,lost my phone,0
466,because this is Twitter and we in net12 set the trends,4
467,It s on in about 9 mins in fact,4
468,Thanks mate All very Sydney and Aussie centric but all pics of kayaking good times,4
469,Thx for the FF lurve Dare to be remarkable,4
470,haha it depends if its red or white whether its girly lol,4
471,taking lindsay to bed for cuddles,4
472,OMG 1000 followers Have just added edited your links on AB sorry 4 delay,4
473,cya have fun and dont work too hard,4
474,Sif studying went over to see you and you weren t home,0
475,Aren t randoms what it s about I LOVE that it s Star Wars day I didn t realise and I can t believe it s almost over,4
476,I m very disapointed supernatural season 4 is all finished cain t wait for it s return,0
477,watching a gossip girl,4
478,So nap accomplished lesson plan for presentation also nearly done Time to write,4
479,ME This you aren t a baseball fan Too bad Its a great way to enjoy the wonderful spring weather,4
480,Wahhh you can t SEE my picture even though it s uploaded already,0
481,yay just picked up a vintage record player in wooden box for 10 kicking ass,4
482,wishing i had a follower,0
483,Out of curiosity can I see the portfolio you submitted Here s mine,0
484,has sore throat from singing yesterday it was lots of fun though I must admit I m the traditional embarrass yourself with host person,4
485,I know that feeling I often stay up that little bit too late and suffer the next day Sweet dreams to you,4
486,Will settle for toasted tomatoe sandwich Love them,4
487,gots new billie finally Not only 1 special edition copy but 2 bahahaha,4
488,Australia s last remaining WW1 veteran died today aged 110,0
489,lost his USB,0
490,Car s clean my karcher is broken ready for my Tassie trip now just gotta load the camera gear Just l,0
491,TwitBlocked says I have 20000 API calls left but that link you er linked says 100 Then again Twitter com seems down,0
492,some of my fav ladies,4
493,how about a really really sad face,0
